timestamp,nombre_original,producto,unidad_medida,valor,marca_detectada,intervencion,motivo
2025-11-30T20:57:57,Pan Dulce Especial Chips Chocolat . . 400 Grm,pan dulce especial chips chocolat 400 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T20:58:47,Pionono Tradicional 180g,pionono tradicional,g,180g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T20:58:47,Piononos La Perla 200g,piononos la perla,g,200g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T20:58:48,Pionono Salado 180g,pionono salado,g,180g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:01:29,Chupetin MR. POPS Frutal Bol 50 Uni,chupetin mr pops frutal bol 50 uni,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:02:08,Pan Dulce Especial Chips Chocolat . . 400 Grm,pan dulce especial chips chocolat 400 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:02:25,Pionono Tradicional 180g,pionono tradicional,g,180g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:02:25,Piononos La Perla 200g,piononos la perla,g,200g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:02:26,Pionono Salado 180g,pionono salado,g,180g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:03:46,Mani Tostado Salado Con Miel Dec Aliment 75 Grm,mani tostado salado con miel dec aliment 75 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:04:11,Turron De Alicante La Fama 100 Grm,turron de alicante la fama 100 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:04:30,Galletitas Dulces Sabor Chocolatada Mana 136 Grm,galletitas dulces sabor chocolatada mana 136 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:04:33,Galletitas Dulces Sabor Vainilla Mana 136 Grm,galletitas dulces sabor vainilla mana 136 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:05:12,Almendra Saladas Blue Diamon Lat 170 Grm,almendra saladas blue diamon lat 170 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:05:56,Snack De Arroz Con Queso Risky Dit 50g,snack de arroz con queso risky dit,g,50g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:06:09,Snack De Arroz Con Jamón Risky Dit 50g,snack de arroz con jamon risky dit,g,50g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:07:19,Snack De Arroz Con Crema Y Ciboulette Risky Dit 50g,snack de arroz con crema y ciboulette risky dit,g,50g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:08:05,Snacks De Arroz Sab S Dos Hnos. Paq 80 Grm,snacks de arroz sab s dos hnos paq 80 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:08:10,Mani Tostado Salado Dec Aliment 75 Grm,mani tostado salado dec aliment 75 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:08:30,Discos Asado Dos Hnos. Paq 80 Grm,discos asado dos hnos paq 80 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:08:31,Aritos Cebolla Dos Hnos. Bsa 80 Grm,aritos cebolla dos hnos bsa 80 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:09:43,Bombón Cubierto De Chocolate Ferrero 50g,bombon cubierto de chocolate ferrero,g,50g,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:13:02,Alfajor De Arroz Sabor Dulce De Leche 22 Gr,alfajor de arroz sabor dulce de leche,g,22 gr,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:14:39,Chupetín Blueberry Cherry Mr Pops180g,chupetin blueberry cherry mr pops180g,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:18:07,Gomitas Draculenguas Paq 35 Grm,gomitas draculenguas paq 35 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:19:03,Chupetin MR. POPS Frutal Bol 50 Uni,chupetin mr pops frutal bol 50 uni,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:19:34,Gomitas Tiburoncitos Frutti Gelatin Bol 30 Grm,gomitas tiburoncitos frutti gelatin bol 30 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
2025-11-30T21:19:36,Gomitas Frut/Gel Frutigelati Bsa 30 Grm,gomitas frut gel frutigelati bsa 30 grm,,,,marca_no_detectada_o_dudosa,marca_no_detectada_o_dudosa
